ModuleID,PartID,Correct Answer,First Response Count,Last Response Count,ValueID,AnswerValue,Variant,Problem Display Name,Question
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@05cebd92196142cc8b4a62b37be37744,05cebd92196142cc8b4a62b37be37744_2_1,0,381,3,choice_1,High efficiency,,Question 1,Which of the following is the major goal of Agile Project Management?
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@05cebd92196142cc8b4a62b37be37744,05cebd92196142cc8b4a62b37be37744_2_1,1,2364,2839,choice_2,Maximum ROI,,Question 1,Which of the following is the major goal of Agile Project Management?
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@065b8cbeb8fa4a928d4ab5d576e0cc9d,065b8cbeb8fa4a928d4ab5d576e0cc9d_2_1,0,1,0,choice_2,Theory of Constraints,,Question 2,"______________ later became the heart of Lean movement and brought one of the most important Agile tools, the Kanban board, that we use today."
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@065b8cbeb8fa4a928d4ab5d576e0cc9d,065b8cbeb8fa4a928d4ab5d576e0cc9d_2_1,0,3,0,choice_0,Total Quality Management,,Question 2,"______________ later became the heart of Lean movement and brought one of the most important Agile tools, the Kanban board, that we use today."
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@065b8cbeb8fa4a928d4ab5d576e0cc9d,065b8cbeb8fa4a928d4ab5d576e0cc9d_2_1,1,2,6,choice_1,Toyota Production System,,Question 2,"______________ later became the heart of Lean movement and brought one of the most important Agile tools, the Kanban board, that we use today."
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@0678aad9a33b4d9bb855b75fd4a05639,0678aad9a33b4d9bb855b75fd4a05639_2_1,0,37,15,choice_1,Scientific,,Stages of Adaptive Learning,"In different stages of Adaptive Learning Organization, which of following has the highest level of consciousness?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@0678aad9a33b4d9bb855b75fd4a05639,0678aad9a33b4d9bb855b75fd4a05639_2_1,0,73,11,choice_0,Traditional,,Stages of Adaptive Learning,"In different stages of Adaptive Learning Organization, which of following has the highest level of consciousness?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@0678aad9a33b4d9bb855b75fd4a05639,0678aad9a33b4d9bb855b75fd4a05639_2_1,0,89,19,choice_2,Post-Modern,,Stages of Adaptive Learning,"In different stages of Adaptive Learning Organization, which of following has the highest level of consciousness?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@0678aad9a33b4d9bb855b75fd4a05639,0678aad9a33b4d9bb855b75fd4a05639_2_1,1,351,505,choice_3,Living,,Stages of Adaptive Learning,"In different stages of Adaptive Learning Organization, which of following has the highest level of consciousness?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@06ae17e9ffd9430cb214dc93079b12c8,06ae17e9ffd9430cb214dc93079b12c8_2_1,0,56,29,choice_3,70%,,Pure Agile Truth,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@06ae17e9ffd9430cb214dc93079b12c8,06ae17e9ffd9430cb214dc93079b12c8_2_1,0,122,33,choice_1,47%,,Pure Agile Truth,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@06ae17e9ffd9430cb214dc93079b12c8,06ae17e9ffd9430cb214dc93079b12c8_2_1,0,143,24,choice_2,50%,,Pure Agile Truth,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@06ae17e9ffd9430cb214dc93079b12c8,06ae17e9ffd9430cb214dc93079b12c8_2_1,1,229,464,choice_0,23%,,Pure Agile Truth,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@08004b7d6d084fd0bcc0b69f640778ea,08004b7d6d084fd0bcc0b69f640778ea_2_1,0,11,0,choice_3,Dictator,,Question 2,The leader’s role in an Agile project should be _____________.
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@08004b7d6d084fd0bcc0b69f640778ea,08004b7d6d084fd0bcc0b69f640778ea_2_1,0,33,4,choice_2,Micromanager,,Question 2,The leader’s role in an Agile project should be _____________.
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@08004b7d6d084fd0bcc0b69f640778ea,08004b7d6d084fd0bcc0b69f640778ea_2_1,0,159,1,choice_0,Supervisor,,Question 2,The leader’s role in an Agile project should be _____________.
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@08004b7d6d084fd0bcc0b69f640778ea,08004b7d6d084fd0bcc0b69f640778ea_2_1,1,2297,2495,choice_1,Facilitator,,Question 2,The leader’s role in an Agile project should be _____________.
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@0e4daea8d05a42ceb59523b3e140c13e,0e4daea8d05a42ceb59523b3e140c13e_2_1,0,28,84,choice_1,Scrum Master,,User Stories,All User Stories are governed by the project’s ___________.
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@0e4daea8d05a42ceb59523b3e140c13e,0e4daea8d05a42ceb59523b3e140c13e_2_1,0,147,39,choice_0,Development Team,,User Stories,All User Stories are governed by the project’s ___________.
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@0e4daea8d05a42ceb59523b3e140c13e,0e4daea8d05a42ceb59523b3e140c13e_2_1,0,283,32,choice_2,Product Owner,,User Stories,All User Stories are governed by the project’s ___________.
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@0e4daea8d05a42ceb59523b3e140c13e,0e4daea8d05a42ceb59523b3e140c13e_2_1,1,143,446,choice_3,Definition of Done,,User Stories,All User Stories are governed by the project’s ___________.
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@100b11e966f54eef971113ad2b4512fe,100b11e966f54eef971113ad2b4512fe_2_1,0,680,24,choice_1,Operate with one team exactly less than 10 people,,Question 3,The Agile project should______________ to facilitate good communication.
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@100b11e966f54eef971113ad2b4512fe,100b11e966f54eef971113ad2b4512fe_2_1,0,868,40,choice_2,Keep all the team members in a single location,,Question 3,The Agile project should______________ to facilitate good communication.
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@100b11e966f54eef971113ad2b4512fe,100b11e966f54eef971113ad2b4512fe_2_1,0,1139,72,choice_0,Use the same communication tool,,Question 3,The Agile project should______________ to facilitate good communication.
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@100b11e966f54eef971113ad2b4512fe,100b11e966f54eef971113ad2b4512fe_2_1,1,2886,5437,choice_3,Break the project into smaller and cross-functional teams,,Question 3,The Agile project should______________ to facilitate good communication.
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@111b8f93eb824307a6fdb8777a8c331a,111b8f93eb824307a6fdb8777a8c331a_2_1,0,9,0,choice_3,"Sprint Development, Sprint Planning, Sprint Retrospective, and Sprint Review",,Scrum Sequence,Which of the following is the correct sequence of events in a Scrum process?
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@111b8f93eb824307a6fdb8777a8c331a,111b8f93eb824307a6fdb8777a8c331a_2_1,0,19,0,choice_2,"Sprint Development, Sprint Planning, Sprint Review, and Sprint Retrospective",,Scrum Sequence,Which of the following is the correct sequence of events in a Scrum process?
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@111b8f93eb824307a6fdb8777a8c331a,111b8f93eb824307a6fdb8777a8c331a_2_1,0,183,3,choice_0,"Sprint Planning, Sprint Development, Sprint Retrospective, and Sprint Review",,Scrum Sequence,Which of the following is the correct sequence of events in a Scrum process?
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@111b8f93eb824307a6fdb8777a8c331a,111b8f93eb824307a6fdb8777a8c331a_2_1,1,515,723,choice_1,"Sprint Planning, Sprint Development, Sprint Review, and Sprint Retrospective",,Scrum Sequence,Which of the following is the correct sequence of events in a Scrum process?
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1130e44bb3dc45fea3b3f944c3640b9a,1130e44bb3dc45fea3b3f944c3640b9a_2_1,0,398,12,choice_2,Incremental delivery,,Question 1,"One of the most compelling stories that capture why and how Agile works is the P-80 Shooting Star, the first jet fighter developed by Lockheed Martin's Skunkworks team. The success of this project exemplifies the core tenants of Agile. What is not a core tenant of Agile?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1130e44bb3dc45fea3b3f944c3640b9a,1130e44bb3dc45fea3b3f944c3640b9a_2_1,0,580,15,choice_1,Cross-functional teams,,Question 1,"One of the most compelling stories that capture why and how Agile works is the P-80 Shooting Star, the first jet fighter developed by Lockheed Martin's Skunkworks team. The success of this project exemplifies the core tenants of Agile. What is not a core tenant of Agile?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1130e44bb3dc45fea3b3f944c3640b9a,1130e44bb3dc45fea3b3f944c3640b9a_2_1,0,643,23,choice_3,Continuous integration,,Question 1,"One of the most compelling stories that capture why and how Agile works is the P-80 Shooting Star, the first jet fighter developed by Lockheed Martin's Skunkworks team. The success of this project exemplifies the core tenants of Agile. What is not a core tenant of Agile?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1130e44bb3dc45fea3b3f944c3640b9a,1130e44bb3dc45fea3b3f944c3640b9a_2_1,1,3115,4686,choice_0,Shared vision with fixed scope,,Question 1,"One of the most compelling stories that capture why and how Agile works is the P-80 Shooting Star, the first jet fighter developed by Lockheed Martin's Skunkworks team. The success of this project exemplifies the core tenants of Agile. What is not a core tenant of Agile?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1281e1ba40c1456a85faf7199b5223e2,1281e1ba40c1456a85faf7199b5223e2_2_1,0,27,12,choice_0,Scrum of Scrums have a Scrum Master who is responsible for facilitating the coordination of work.,,"Not Scrum of Scrums, You Say?",
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1281e1ba40c1456a85faf7199b5223e2,1281e1ba40c1456a85faf7199b5223e2_2_1,0,39,9,choice_1,"Scrum of Scrums applies when two teams have potential dependencies, such as shared resources or products.",,"Not Scrum of Scrums, You Say?",
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1281e1ba40c1456a85faf7199b5223e2,1281e1ba40c1456a85faf7199b5223e2_2_1,0,248,4,choice_3,"Like a Daily Standup, Scrum of Scrums can be longer and less frequent.",,"Not Scrum of Scrums, You Say?",
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1281e1ba40c1456a85faf7199b5223e2,1281e1ba40c1456a85faf7199b5223e2_2_1,1,237,526,choice_2,Scrum of Scrums offers a chance for predictive leadership to approve the next “Stage” of the project.,,"Not Scrum of Scrums, You Say?",
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@13c1e76992be42998cfcf5e474233256,13c1e76992be42998cfcf5e474233256_2_1,0,2,0,choice_1,Ask team members to keep working overtime,,Question 19,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@13c1e76992be42998cfcf5e474233256,13c1e76992be42998cfcf5e474233256_2_1,0,4,1,choice_0,Cancel the Sprint,,Question 19,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@13c1e76992be42998cfcf5e474233256,13c1e76992be42998cfcf5e474233256_2_1,0,10,0,choice_3,Negotiate with the customer to extend the delivery date,,Question 19,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@13c1e76992be42998cfcf5e474233256,13c1e76992be42998cfcf5e474233256_2_1,1,519,534,choice_2,Collaborate with the Product Owner to identify priority items and reduce the backlog,,Question 19,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@13ed7e7186b74364971eca62e1982033,13ed7e7186b74364971eca62e1982033_2_1,0,53,11,choice_1,Allow the discussion to expedite resolution of the issue,,Question 20,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@13ed7e7186b74364971eca62e1982033,13ed7e7186b74364971eca62e1982033_2_1,0,58,4,choice_3,Take notes and join the discussion to find a problem solution,,Question 20,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@13ed7e7186b74364971eca62e1982033,13ed7e7186b74364971eca62e1982033_2_1,0,60,17,choice_2,End the Daily Scrum meeting abruptly and schedule another meeting to discuss the issue,,Question 20,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@13ed7e7186b74364971eca62e1982033,13ed7e7186b74364971eca62e1982033_2_1,1,363,502,choice_0,Ask the team members to table the discussion until after the meeting is over,,Question 20,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,0,1,[choice_0|choice_1|choice_2|choice_4],[Customer support|Building relocation|Building Information Modeling|Modular acquisitions],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,0,1,[choice_0|choice_3],[Customer support|Online legal products],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,1,0,[choice_0|choice_1],[Customer support|Building relocation],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,1,0,[choice_0|choice_4],[Customer support|Modular acquisitions],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,1,0,[choice_1],[Building relocation],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,1,1,[choice_0|choice_2],[Customer support|Building Information Modeling],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,1,1,[choice_0|choice_2|choice_3|choice_4],[Customer support|Building Information Modeling|Online legal products|Modular acquisitions],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,1,2,[choice_2|choice_4],[Building Information Modeling|Modular acquisitions],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,2,0,[choice_0],[Customer support],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,2,1,[choice_3],[Online legal products],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,4,0,[choice_4],[Modular acquisitions],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,4,8,[choice_0|choice_1|choice_2],[Customer support|Building relocation|Building Information Modeling],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,5,0,[choice_2|choice_3],[Building Information Modeling|Online legal products],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,10,10,[choice_0|choice_1|choice_3],[Customer support|Building relocation|Online legal products],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,13,9,[choice_0|choice_1|choice_4],[Customer support|Building relocation|Modular acquisitions],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,14,1,[choice_2],[Building Information Modeling],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,18,7,[choice_1|choice_2|choice_4],[Building relocation|Building Information Modeling|Modular acquisitions],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,19,4,[choice_1|choice_3|choice_4],[Building relocation|Online legal products|Modular acquisitions],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,21,11,[choice_0|choice_3|choice_4],[Customer support|Online legal products|Modular acquisitions],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,24,8,[choice_1|choice_2|choice_3],[Building relocation|Building Information Modeling|Online legal products],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,48,7,[choice_0|choice_2|choice_4],[Customer support|Building Information Modeling|Modular acquisitions],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,0,59,4,[choice_0|choice_2|choice_3],[Customer support|Building Information Modeling|Online legal products],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1592c9ecd4394a53bc32fb5b9c9210d3,1592c9ecd4394a53bc32fb5b9c9210d3_2_1,1,399,572,[choice_2|choice_3|choice_4],[Building Information Modeling|Online legal products|Modular acquisitions],,Transition to Agile,"According to the lecture, which of the following are the examples showing that IT is turning Traditional and Lean industries into Agile ones (choose 3 of 5)?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,0,0,1,[choice_0|choice_1|choice_2],[Functional|Matrixed|Ad hoc],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,0,0,1,[choice_0|choice_2|choice_3],[Functional|Ad hoc|Projectized],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,0,1,0,[choice_1|choice_2|choice_3],[Matrixed|Ad hoc|Projectized],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,0,4,4,[choice_2|choice_3],[Ad hoc|Projectized],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,0,5,0,[choice_2],[Ad hoc],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,0,6,0,[choice_0],[Functional],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,0,6,0,[choice_0|choice_1|choice_3],[Functional|Matrixed|Projectized],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,0,9,3,[choice_1|choice_2],[Matrixed|Ad hoc],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,0,9,7,[choice_0|choice_2],[Functional|Ad hoc],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,0,15,2,[choice_3],[Projectized],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,0,18,7,[choice_0|choice_3],[Functional|Projectized],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,0,25,7,[choice_0|choice_1],[Functional|Matrixed],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,0,32,1,[choice_1],[Matrixed],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@1905b421465d4ca192301add2d07f23e,1905b421465d4ca192301add2d07f23e_2_1,1,519,616,[choice_1|choice_3],[Matrixed|Projectized],,Teams of Agility,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@229ec47a74624929a145bd62fefebb91,229ec47a74624929a145bd62fefebb91_2_1,0,43,7,choice_3,Return on Investment,,Budget Better Beware!,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@229ec47a74624929a145bd62fefebb91,229ec47a74624929a145bd62fefebb91_2_1,0,49,5,choice_1,Earned Value Management,,Budget Better Beware!,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@229ec47a74624929a145bd62fefebb91,229ec47a74624929a145bd62fefebb91_2_1,0,68,6,choice_2,Key Performance Indicators,,Budget Better Beware!,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@229ec47a74624929a145bd62fefebb91,229ec47a74624929a145bd62fefebb91_2_1,1,489,631,choice_0,Service Agreements,,Budget Better Beware!,
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@26438f3714b04564936b36aab2edf91b,26438f3714b04564936b36aab2edf91b_2_1,0,87,38,choice_3,Sprint Retrospective,,Sprints,___________ is a great opportunity to take what can be a very insular process of “Sprinting” to get work done and bring in those most impacted by the work.
